Name,Fund,Tier,Check Size,Best Channel,Handle/Contact,Why Fits PetAI,Priority,Status,Next Action
Carmichael Roberts,Companion Fund,Lead VC,$250-500k,LinkedIn DM,linkedin.com/in/carmichael-roberts-9b4b53,Only pet-tech focused fund in US — mandatory contact for any pet startup,P0,Not contacted,Send intro DM (template #1)
Elizabeth Yin,Hustle Fund,Lead VC,$50-200k,Public application,hustlefund.vc/apply,"Pre-seed, founder-friendly, accepts cold pitches, fast yes/no",P0,Not contacted,Submit application
Aaron Easterly,Rover (ex-founder),Pet Angel,$25-50k,LinkedIn DM,linkedin.com/in/aaroneasterly,Founded Rover ($1B exit) — knows pet-tech market like nobody else,P0,Not contacted,LinkedIn intro msg (template #2)
Ben Jacobs,Whistle (ex-co-founder),Pet Angel,$50-100k,Twitter DM,@benjjacobs,Co-founded Whistle GPS collar — sold to Mars Petcare. Knows hardware+software pet space,P0,Not contacted,Twitter DM (template #3)
Mark Pincus,ex-Zynga / Workplay,Pet Angel,$50-200k,Email via PR,investor@workplay.com,Backed Rover. Likes founder stories about pivoting / persistence,P1,Not contacted,Cold email (template #4)
Lenny Rachitsky,Lenny's Newsletter Fund,Solo GP,$50-100k,Twitter DM + apply,@lennysan + lennysnewsletter.com/contact,Consumer/B2B SaaS focus. Newsletter has pet-tech founders in audience. Easy DM,P1,Not contacted,Twitter DM (template #5)
Sahil Lavingia,Sahil's Fund (Gumroad),Solo GP,$25-100k,Twitter DM,@shl,Public angel — invests fast via DocSend deck. Loves solo/serial founders,P1,Not contacted,Twitter DM (template #6)
Niv Dror,Shrug Capital,Solo GP,$50-150k,Twitter DM,@nivo0o0,Pre-seed solo GP. Loves witty pitches and founders with personality,P1,Not contacted,Twitter DM (template #7)
Ryan Hoover,Weekend Fund / Product Hunt,Solo GP,$50-150k,Twitter DM,@rrhoover,Product Hunt founder. Consumer focus. Pet-tech curious. Fast checks,P1,Not contacted,Twitter DM (template #8)
Anuj Mehrotra,Pawmenities founder,Pet Angel,$25-50k,LinkedIn,linkedin.com/in/anujmehrotra,Founded pet-tech (Pawmenities). Operator-angel — knows the unit economics,P2,Not contacted,LinkedIn msg (template #9)
Aydin Senkut,Felicis Ventures,Lead VC,$300-500k,Warm intro only,partner with someone in Felicis portfolio first,"Backed Wagmo, Eusoh in pet. AI-consumer focus. Famous for big bets",P0,Not contacted,Find warm intro first (no cold)
Eric Bahn,Hustle Fund,Lead VC,$50-200k,Public application,hustlefund.vc/apply,"Co-founded Hustle Fund. Loves diverse / non-Stanford founders. Asia + US",P0,Not contacted,Same application as Yin (#2)
